Name,Tank2DataThursday,
File,C:\Users\Banan\Documents\Systemmodell Tank IndustriellIT\Tank2InnUtData.csv,
Starttime of export,133446110914130000,Thursday, November 16, 2023,13:24:51.413
Endtime of export,133446112326030000,Thursday, November 16, 2023,13:27:12.603


Name,Level_Valve_2_Percentage,Name,LT2mm
SymbolComment,,SymbolComment,
Data-Type,INT16,Data-Type,REAL32
SampleTime[ms],10,SampleTime[ms],10
VariableSize,2,VariableSize,4
SymbolBased,True,SymbolBased,True
IndexGroup,16448,IndexGroup,16448
IndexOffset,413098,IndexOffset,412856
SymbolName,MAIN.Level_Valve_2_Percentage,SymbolName,MAIN.LT2mm
NetID,5.112.67.239.1.1,NetID,5.112.67.239.1.1
Port,851,Port,851
Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0

0,0,0,115.5707
10,0,10,115.547157
20,0,20,115.535385
30,0,30,115.553047
40,0,40,115.5295
50,0,50,115.500069
60,0,60,115.505959
70,0,70,115.523613
80,0,80,115.5295
90,0,90,115.5707
100,0,100,115.582474
110,0,110,115.558929
120,0,120,115.535385
130,0,130,115.5295
140,0,140,115.523613
150,0,150,115.547157
160,0,160,115.547157
170,0,170,115.511841
180,0,180,115.523613
190,0,190,115.547157
200,0,200,115.547157
210,0,210,115.535385
220,0,220,115.553047
230,0,230,115.576591
240,0,240,115.576591
250,0,250,115.558929
260,0,260,115.535385
270,0,270,115.5295
280,0,280,115.547157
290,0,290,115.547157
300,0,300,115.535385
310,0,310,115.553047
320,0,320,115.547157
330,0,330,115.5295
340,0,340,115.5295
350,0,350,115.553047
360,0,360,115.558929
370,0,370,115.553047
380,0,380,115.5707
390,0,390,115.553047
400,0,400,115.535385
410,0,410,115.523613
420,0,420,115.553047
430,0,430,115.594246
440,0,440,115.582474
450,0,450,115.535385
460,0,460,115.535385
470,0,470,115.5707
480,0,480,115.547157
490,0,490,115.547157
500,0,500,115.553047
510,0,510,115.558929
520,0,520,115.558929
530,0,530,115.5295
540,0,540,115.535385
550,0,550,115.5295
560,0,560,115.523613
570,0,570,115.547157
580,0,580,115.5295
590,0,590,115.505959
600,0,600,115.523613
610,0,610,115.5295
620,0,620,115.547157
630,0,630,115.558929
640,0,640,115.547157
650,0,650,115.553047
660,0,660,115.5295
670,0,670,115.523613
680,0,680,115.547157
690,0,690,115.5707
700,0,700,115.558929
710,0,710,115.5295
720,0,720,115.547157
730,0,730,115.558929
740,0,740,115.5707
750,0,750,115.594246
760,0,760,115.558929
770,0,770,115.547157
780,0,780,115.5707
790,0,790,115.558929
800,0,800,115.535385
810,0,810,115.511841
820,0,820,115.553047
830,0,830,115.594246
840,0,840,115.553047
850,0,850,115.547157
860,0,860,115.553047
870,0,870,115.535385
880,0,880,115.5295
890,0,890,115.553047
900,0,900,115.558929
910,0,910,115.558929
920,0,920,115.576591
930,0,930,115.5707
940,0,940,115.558929
950,0,950,115.535385
960,0,960,115.535385
970,0,970,115.553047
980,0,980,115.5295
990,0,990,115.535385
1000,0,1000,115.558929
1010,0,1010,115.5707
1020,0,1020,115.582474
1030,0,1030,115.5707
1040,0,1040,115.5295
1050,0,1050,115.535385
1060,0,1060,115.5707
1070,0,1070,115.553047
1080,0,1080,115.5295
1090,0,1090,115.535385
1100,0,1100,115.553047
1110,0,1110,115.523613
1120,0,1120,115.523613
1130,0,1130,115.5707
1140,0,1140,115.576591
1150,0,1150,115.558929
1160,0,1160,115.5707
1170,0,1170,115.582474
1180,0,1180,115.553047
1190,0,1190,115.5295
1200,0,1200,115.523613
1210,0,1210,115.523613
1220,0,1220,115.523613
1230,0,1230,115.523613
1240,0,1240,115.5295
1250,0,1250,115.535385
1260,0,1260,115.553047
1270,0,1270,115.558929
1280,0,1280,115.553047
1290,0,1290,115.535385
1300,0,1300,115.553047
1310,0,1310,115.5707
1320,0,1320,115.523613
1330,0,1330,115.523613
1340,0,1340,115.558929
1350,0,1350,115.558929
1360,0,1360,115.547157
1370,0,1370,115.5295
1380,0,1380,115.547157
1390,0,1390,115.553047
1400,0,1400,115.535385
1410,0,1410,115.553047
1420,0,1420,115.535385
1430,0,1430,115.523613
1440,0,1440,115.511841
1450,0,1450,115.535385
1460,0,1460,115.558929
1470,0,1470,115.5707
1480,0,1480,115.558929
1490,0,1490,115.500069
1500,0,1500,115.505959
1510,0,1510,115.5707
1520,0,1520,115.5707
1530,0,1530,115.5295
1540,0,1540,115.505959
1550,0,1550,115.547157
1560,0,1560,115.5707
1570,0,1570,115.535385
1580,0,1580,115.5295
1590,0,1590,115.547157
1600,0,1600,115.553047
1610,0,1610,115.5707
1620,0,1620,115.553047
1630,0,1630,115.553047
1640,0,1640,115.553047
1650,0,1650,115.558929
1660,0,1660,115.547157
1670,0,1670,115.547157
1680,0,1680,115.558929
1690,0,1690,115.511841
1700,0,1700,115.535385
1710,0,1710,115.553047
1720,0,1720,115.5295
1730,0,1730,115.553047
1740,0,1740,115.553047
1750,0,1750,115.547157
1760,0,1760,115.547157
1770,0,1770,115.547157
1780,0,1780,115.547157
1790,0,1790,115.5295
1800,0,1800,115.547157
1810,0,1810,115.553047
1820,0,1820,115.523613
1830,0,1830,115.523613
1840,0,1840,115.523613
1850,0,1850,115.523613
1860,0,1860,115.547157
1870,0,1870,115.5707
1880,0,1880,115.558929
1890,0,1890,115.5707
1900,0,1900,115.5707
1910,0,1910,115.535385
1920,0,1920,115.505959
1930,0,1930,115.511841
1940,0,1940,115.535385
1950,0,1950,115.547157
1960,0,1960,115.553047
1970,0,1970,115.547157
1980,0,1980,115.5295
1990,0,1990,115.547157
2000,0,2000,115.558929
2010,0,2010,115.553047
2020,0,2020,115.547157
2030,0,2030,115.547157
2040,0,2040,115.5295
2050,0,2050,115.547157
2060,0,2060,115.558929
2070,0,2070,115.558929
2080,0,2080,115.558929
2090,0,2090,115.553047
2100,0,2100,115.547157
2110,0,2110,115.5295
2120,0,2120,115.547157
2130,0,2130,115.5295
2140,0,2140,115.547157
2150,0,2150,115.553047
2160,0,2160,115.553047
2170,0,2170,115.5707
2180,0,2180,115.547157
2190,0,2190,115.511841
2200,0,2200,115.505959
2210,0,2210,115.547157
2220,0,2220,115.547157
2230,0,2230,115.547157
2240,0,2240,115.553047
2250,0,2250,115.547157
2260,0,2260,115.535385
2270,0,2270,115.5295
2280,0,2280,115.547157
2290,0,2290,115.558929
2300,0,2300,115.553047
2310,0,2310,115.547157
2320,0,2320,115.5295
2330,0,2330,115.535385
